NOMENCLATURE;AGPR;CONSO
044;3;909
0443;3;287
04431;3;287
0444;3;621
04441;3;621
045;3;1329
0450;3;143
04500;3;143
0451;3;818
04511;3;818
0452;3;237
0452Z;3;237
0453;3;75
0453Z;3;75
045A;3;56
045AZ;3;56
046;3;36
0461;3;36
04611;3;36
05;3;1624
051;3;506
0511;3;485
0511Z;3;485
051A;3;21
051AZ;3;21
052;3;80
0521;3;80
0521Z;3;80
053;3;230
0531;3;188
0531Z;3;188
0532;3;42
05321;3;42
054;3;85
0541;3;85
0541Z;3;85
055;3;181
0551;3;66
0551Z;3;66
0552;3;114
0552Z;3;114
056;3;502
0561;3;241
0561Z;3;241
0562;3;261
0562Z;3;261
057;3;40
0571;3;40
0571Z;3;40
06;3;562
061;3;267
0611;3;267
0611Z;3;267
062;3;260
0621;3;113
06211;3;113
0622;3;85
06221;3;85
0623;3;62
0623Z;3;62
063;3;26
0631;3;26
06311;3;26
064;3;10
0641;3;10
0641Z;3;10
07;3;5257
071;3;2191
0711;3;2064
0711Z;3;2064
0712;3;73
07121;3;73
0713;3;54
07131;3;54
072;3;2005
0721;3;170
07211;3;170
0722;3;1346
07221;3;1346
0723;3;336
07231;3;336
0724;3;152
0724Z;3;152
073;3;608
0736;3;19
07361;3;19
073Z;3;590
073ZZ;3;590
074;3;453
0741;3;453
0741Z;3;453
08;3;847
081;3;847
0811;3;20
08111;3;20
0812;3;116
08121;3;116
0813;3;711
08131;3;711
09;3;3126
091;3;282
0911;3;93
0911Z;3;93
0913;3;109
09131;3;109
0914;3;58
09141;3;58
091A;3;23
091AZ;3;23
092;3;59
092Z;3;59
092ZZ;3;59
093;3;644
0931;3;370
0931Z;3;370
0932;3;115
09321;3;115
093A;3;159
093AZ;3;159
094;3;1097
0941;3;518
09411;3;518
0942;3;537
0942Z;3;537
0943;3;42
09431;3;42
095;3;305
0951;3;136
09511;3;136
0952;3;53
09521;3;53
0953;3;15
09531;3;15
0954;3;101
09541;3;101
096;3;419
0961;3;419
09611;3;419
097;3;321
0971;3;321
0971Z;3;321
10;3;238
101;3;238
1011;3;88
