NOMENCLATURE;TYPMEN;CONSO
0117;3;540
01175;3;8
01176;3;13
01177;3;65
01178;3;42
01179;3;89
0117A;3;322
0118;3;281
01181;3;20
0118A;3;261
0119;3;154
0119Z;3;154
012;3;378
0121;3;162
01213;3;5
0121A;3;157
0122;3;216
01221;3;82
01222;3;38
0122A;3;96
013;3;199
0131;3;199
0131Z;3;199
02;3;900
021;3;564
0211;3;128
02111;3;128
0212;3;370
0212A;3;370
0213;3;66
02131;3;66
022;3;329
022Z;3;329
022ZZ;3;329
024;3;7
0241;3;7
02411;3;7
03;3;1334
031;3;892
0311;3;7
03111;3;7
0312;3;812
0312Z;3;812
0313;3;54
03131;3;54
0314;3;19
03141;3;19
032;3;263
032Z;3;263
032ZZ;3;263
033;3;180
0331;3;180
0331Z;3;180
04;3;4269
041;3;1534
0411;3;1510
04111;3;1510
0412;3;24
04121;3;24
043;3;252
0431;3;252
0431Z;3;252
044;3;754
0443;3;291
04431;3;291
0444;3;463
04441;3;463
045;3;1597
0450;3;230
04500;3;230
0451;3;846
04511;3;846
0452;3;284
0452Z;3;284
0453;3;164
0453Z;3;164
045A;3;73
045AZ;3;73
046;3;131
0461;3;131
04611;3;131
05;3;2059
051;3;522
0511;3;512
0511Z;3;512
051A;3;10
051AZ;3;10
052;3;105
0521;3;105
0521Z;3;105
053;3;258
0531;3;228
0531Z;3;228
0532;3;30
05321;3;30
054;3;107
0541;3;107
0541Z;3;107
055;3;393
0551;3;138
0551Z;3;138
0552;3;255
0552Z;3;255
056;3;597
0561;3;294
0561Z;3;294
0562;3;304
0562Z;3;304
057;3;76
0571;3;76
0571Z;3;76
06;3;586
061;3;290
0611;3;290
0611Z;3;290
062;3;253
0621;3;122
06211;3;122
0622;3;68
06221;3;68
0623;3;63
0623Z;3;63
063;3;33
0631;3;33
06311;3;33
064;3;10
0641;3;10
0641Z;3;10
07;3;5513
071;3;2598
0711;3;2462
0711Z;3;2462
0712;3;89
07121;3;89
0713;3;47
07131;3;47
072;3;1931
0721;3;160
07211;3;160
0722;3;1279
07221;3;1279
0723;3;349
07231;3;349
0724;3;142
0724Z;3;142
073;3;522
0736;3;23
07361;3;23
073Z;3;499
073ZZ;3;499
074;3;462
0741;3;462
0741Z;3;462
08;3;733
081;3;733
0811;3;28
08111;3;28
0812;3;69
08121;3;69
0813;3;636
08131;3;636
09;3;2939
091;3;290
0911;3;110
0911Z;3;110
0913;3;98
09131;3;98
0914;3;48
09141;3;48
091A;3;33
091AZ;3;33
092;3;123
092Z;3;123
092ZZ;3;123
093;3;518
0931;3;121
0931Z;3;121
0932;3;208
09321;3;208
093A;3;189
093AZ;3;189
094;3;822
0941;3;274
09411;3;274
0942;3;501
0942Z;3;501
0943;3;46
09431;3;46
095;3;377
0951;3;108
09511;3;108
0952;3;186
09521;3;186
0953;3;14
09531;3;14
0954;3;70
09541;3;70
096;3;525
0961;3;525
09611;3;525
097;3;285
0971;3;285
0971Z;3;285
10;3;69
101;3;69
1011;3;0
10111;3;0
1012;3;1
10121;3;1
1013;3;31
10131;3;31
1014;3;5
10141;3;5
1015;3;32
1015Z;3;32
11;3;1934
111;3;1566
1111;3;1157
11111;3;761
11112;3;397
1112;3;89
11121;3;89
1113;3;319
1113Z;3;319
112;3;368
1121;3;368
11211;3;368
12;3;5083
121;3;856
1211;3;411
12111;3;411
1212;3;445
1212Z;3;445
123;3;187
1231;3;69
12311;3;69
1232;3;66
1232Z;3;66
1233;3;52
12331;3;52
124;3;33
1241;3;33
12411;3;33
125;3;3009
1251;3;51
12511;3;51
1252;3;435
12521;3;435
1253;3;1554
12531;3;1554
1254;3;818
12541;3;818
1255;3;151
12551;3;151
126;3;161
1261;3;161
12611;3;161
127;3;786
1271;3;786
1271Z;3;786
128;3;47
1281;3;47
12811;3;47
129;3;5
1291;3;5
12911;3;5
13;3;11117
131;3;4835
1314;3;3133
13141;3;3133
1315;3;27
13151;3;27
1316;3;65
13161;3;65
131A;3;1611
131AZ;3;1611
132;3;1660
132Z;3;1660
132ZZ;3;1660
133;3;1243
1331;3;1243
13311;3;1243
134;3;2175
134Z;3;2175
134ZZ;3;2175
135;3;1205
1351;3;1205
13511;3;1205
CTOTALE;3;30756
01;4;6161
011;4;5416
0111;4;1170
01111;4;43
01112;4;715
01113;4;96
01114;4;231
01115;4;86
0112;4;1317
01121;4;363
01122;4;103
01123;4;35
01124;4;241
01125;4;423
01126;4;141
01127;4;11
0113;4;345
01130;4;120
01131;4;22
01132;4;70
01133;4;30
01134;4;103
0114;4;828
01145;4;384
01147;4;57
0114A;4;124
0114B;4;263
0115;4;111
01151;4;53
0115A;4;43
0115B;4;15
0116;4;382
01161;4;63
01162;4;36
01168;4;61
01169;4;9
0116A;4;214
0117;4;607
01175;4;10
01176;4;20
01177;4;69
01178;4;57
01179;4;121
0117A;4;331
0118;4;401
01181;4;18
0118A;4;383
0119;4;254
0119Z;4;254
012;4;501
0121;4;162
01213;4;12
0121A;4;150
0122;4;339
01221;4;89
01222;4;81
0122A;4;169
013;4;244
0131;4;244
0131Z;4;244
02;4;956
021;4;439
0211;4;115
02111;4;115
0212;4;238
0212A;4;238
0213;4;86
02131;4;86
022;4;513
022Z;4;513
022ZZ;4;513
024;4;4
0241;4;4
02411;4;4
03;4;2213
031;4;1554
0311;4;3
03111;4;3
0312;4;1472
0312Z;4;1472
0313;4;61
03131;4;61
0314;4;17
03141;4;17
032;4;496
032Z;4;496
032ZZ;4;496
033;4;163
0331;4;163
0331Z;4;163
04;4;4820
041;4;2027
0411;4;1889
04111;4;1889
0412;4;138
04121;4;138
043;4;192
0431;4;192
0431Z;4;192
044;4;899
0443;4;374
04431;4;374
0444;4;525
04441;4;525
045;4;1639
0450;4;207
04500;4;207
0451;4;929
04511;4;929
0452;4;308
0452Z;4;308
0453;4;123
0453Z;4;123
045A;4;71
045AZ;4;71
046;4;64
0461;4;64
04611;4;64
05;4;2130
051;4;665
0511;4;641
0511Z;4;641
051A;4;24
051AZ;4;24
052;4;105
0521;4;105
0521Z;4;105
053;4;282
0531;4;240
0531Z;4;240
0532;4;42
05321;4;42
054;4;111
0541;4;111
0541Z;4;111
055;4;221
0551;4;85
0551Z;4;85
0552;4;136
0552Z;4;136
056;4;693
0561;4;309
0561Z;4;309
0562;4;385
0562Z;4;385
057;4;53
0571;4;53
0571Z;4;53
06;4;679
061;4;317
0611;4;317
0611Z;4;317
062;4;317
0621;4;152
06211;4;152
0622;4;89
06221;4;89
0623;4;76
0623Z;4;76
063;4;34
0631;4;34
06311;4;34
064;4;11
0641;4;11
0641Z;4;11
07;4;6839
071;4;3068
0711;4;2887
0711Z;4;2887
0712;4;117
07121;4;117
0713;4;63
07131;4;63
072;4;2545
0721;4;215
07211;4;215
0722;4;1679
07221;4;1679
0723;4;424
07231;4;424
0724;4;227
0724Z;4;227
073;4;706
0736;4;16
07361;4;16
073Z;4;690
073ZZ;4;690
074;4;521
0741;4;521
0741Z;4;521
08;4;1015
081;4;1015
0811;4;27
08111;4;27
0812;4;157
08121;4;157
0813;4;831
08131;4;831
09;4;3629
091;4;365
0911;4;142
0911Z;4;142
0913;4;140
09131;4;140
0914;4;57
09141;4;57
091A;4;26
091AZ;4;26
092;4;122
092Z;4;122
092ZZ;4;122
093;4;717
0931;4;353
0931Z;4;353
0932;4;168
09321;4;168
093A;4;196
093AZ;4;196
094;4;1183
0941;4;545
09411;4;545
0942;4;596
0942Z;4;596
0943;4;43
09431;4;43
095;4;368
0951;4;146
09511;4;146
0952;4;75
09521;4;75
0953;4;17
09531;4;17
0954;4;130
09541;4;130
096;4;558
0961;4;558
09611;4;558
097;4;316
0971;4;316
0971Z;4;316
10;4;509
101;4;509
1011;4;70
10111;4;70
1012;4;75
10121;4;75
1013;4;281
10131;4;281
1014;4;56
10141;4;56
1015;4;27
1015Z;4;27
11;4;3257
111;4;2617
1111;4;1378
11111;4;740
11112;4;637
1112;4;941
11121;4;941
1113;4;298
1113Z;4;298
112;4;640
1121;4;640
11211;4;640
12;4;6245
121;4;1071
1211;4;434
12111;4;434
1212;4;637
1212Z;4;637
123;4;269
1231;4;97
12311;4;97
1232;4;124
1232Z;4;124
1233;4;47
12331;4;47
124;4;960
1241;4;960
12411;4;960
125;4;2889
1251;4;43
12511;4;43
1252;4;405
12521;4;405
1253;4;1221
12531;4;1221
1254;4;1016
12541;4;1016
1255;4;203
12551;4;203
126;4;201
1261;4;201
12611;4;201
127;4;771
1271;4;771
1271Z;4;771
128;4;24
1281;4;24
12811;4;24
129;4;59
1291;4;59
12911;4;59
13;4;14887
131;4;4441
1314;4;2941
13141;4;2941
1315;4;34
13151;4;34
1316;4;80
13161;4;80
131A;4;1386
131AZ;4;1386
132;4;5945
132Z;4;5945
132ZZ;4;5945
133;4;685
1331;4;685
13311;4;685
134;4;2318
134Z;4;2318
134ZZ;4;2318
135;4;1499
1351;4;1499
13511;4;1499
CTOTALE;4;38453
01;5;5460
011;5;4883
0111;5;1063
01111;5;72
01112;5;647
01113;5;88
01114;5;195
01115;5;61
0112;5;1269
01121;5;347
01122;5;115
01123;5;71
01124;5;231
01125;5;366
01126;5;122
01127;5;17
0113;5;330
01130;5;143
01131;5;29
01132;5;33
01133;5;19
01134;5;106
0114;5;736
01145;5;380
01147;5;44
0114A;5;99
0114B;5;213
0115;5;99
01151;5;44
0115A;5;38
0115B;5;17
0116;5;344
01161;5;56
01162;5;40
01168;5;28
01169;5;8
0116A;5;211
0117;5;554
01175;5;10
01176;5;11
01177;5;69
01178;5;37
01179;5;123
0117A;5;306
0118;5;284
01181;5;18
0118A;5;267
0119;5;201
0119Z;5;201
