NOMENCLATURE;STRATE;CONSO
0954;3;67
09541;3;67
096;3;346
0961;3;346
09611;3;346
097;3;243
0971;3;243
0971Z;3;243
10;3;251
101;3;251
1011;3;25
10111;3;25
1012;3;26
10121;3;26
1013;3;150
10131;3;150
1014;3;28
10141;3;28
1015;3;23
1015Z;3;23
11;3;1980
111;3;1645
1111;3;1077
11111;3;587
11112;3;489
1112;3;301
11121;3;301
1113;3;267
1113Z;3;267
112;3;335
1121;3;335
11211;3;335
12;3;4197
121;3;753
1211;3;325
12111;3;325
1212;3;429
1212Z;3;429
123;3;183
1231;3;52
12311;3;52
1232;3;82
1232Z;3;82
1233;3;50
12331;3;50
124;3;272
1241;3;272
12411;3;272
125;3;2114
1251;3;36
12511;3;36
1252;3;330
12521;3;330
1253;3;1000
12531;3;1000
1254;3;625
12541;3;625
1255;3;123
12551;3;123
126;3;142
1261;3;142
12611;3;142
127;3;680
1271;3;680
1271Z;3;680
128;3;31
1281;3;31
12811;3;31
129;3;22
1291;3;22
12911;3;22
13;3;8609
131;3;3204
1314;3;1970
13141;3;1970
1315;3;16
13151;3;16
1316;3;54
13161;3;54
131A;3;1164
131AZ;3;1164
132;3;2196
132Z;3;2196
132ZZ;3;2196
133;3;789
1331;3;789
13311;3;789
134;3;1584
134Z;3;1584
134ZZ;3;1584
135;3;836
1351;3;836
13511;3;836
CTOTALE;3;26825
01;4;4687
011;4;4108
0111;4;808
01111;4;33
01112;4;495
01113;4;68
01114;4;152
01115;4;60
0112;4;928
01121;4;268
01122;4;67
01123;4;54
01124;4;163
01125;4;268
01126;4;96
01127;4;11
0113;4;348
01130;4;140
01131;4;22
01132;4;63
01133;4;32
01134;4;92
0114;4;569
01145;4;270
01147;4;49
0114A;4;70
0114B;4;179
0115;4;83
01151;4;35
0115A;4;39
0115B;4;10
0116;4;426
01161;4;74
01162;4;31
01168;4;66
01169;4;7
0116A;4;248
0117;4;545
01175;4;8
01176;4;16
01177;4;46
01178;4;49
01179;4;86
0117A;4;341
0118;4;244
01181;4;15
0118A;4;229
0119;4;157
0119Z;4;157
012;4;360
0121;4;132
01213;4;5
0121A;4;127
0122;4;228
01221;4;71
01222;4;49
0122A;4;108
013;4;219
0131;4;219
0131Z;4;219
02;4;803
021;4;415
0211;4;82
02111;4;82
0212;4;286
0212A;4;286
0213;4;47
02131;4;47
022;4;386
022Z;4;386
022ZZ;4;386
024;4;2
0241;4;2
02411;4;2
03;4;1594
031;4;1128
0311;4;8
03111;4;8
0312;4;1038
0312Z;4;1038
0313;4;41
03131;4;41
0314;4;41
03141;4;41
032;4;312
032Z;4;312
032ZZ;4;312
033;4;154
0331;4;154
0331Z;4;154
04;4;6338
041;4;3336
0411;4;3303
04111;4;3303
0412;4;32
04121;4;32
043;4;174
0431;4;174
0431Z;4;174
044;4;1620
0443;4;160
04431;4;160
0444;4;1459
04441;4;1459
045;4;1159
0450;4;254
04500;4;254
0451;4;615
04511;4;615
0452;4;254
0452Z;4;254
0453;4;27
0453Z;4;27
045A;4;9
045AZ;4;9
046;4;50
0461;4;50
04611;4;50
05;4;1673
051;4;394
0511;4;382
0511Z;4;382
