NOMENCLATURE;CSPR;CONSO
045;3;1576
0450;3;272
04500;3;272
0451;3;858
04511;3;858
0452;3;309
0452Z;3;309
0453;3;87
0453Z;3;87
045A;3;49
045AZ;3;49
046;3;146
0461;3;146
04611;3;146
05;3;2825
051;3;803
0511;3;781
0511Z;3;781
051A;3;22
051AZ;3;22
052;3;174
0521;3;174
0521Z;3;174
053;3;280
0531;3;238
0531Z;3;238
0532;3;42
05321;3;42
054;3;106
0541;3;106
0541Z;3;106
055;3;261
0551;3;88
0551Z;3;88
0552;3;173
0552Z;3;173
056;3;1110
0561;3;271
0561Z;3;271
0562;3;839
0562Z;3;839
057;3;91
0571;3;91
0571Z;3;91
06;3;779
061;3;385
0611;3;385
0611Z;3;385
062;3;344
0621;3;154
06211;3;154
0622;3;96
06221;3;96
0623;3;95
0623Z;3;95
063;3;27
0631;3;27
06311;3;27
064;3;22
0641;3;22
0641Z;3;22
07;3;7320
071;3;2923
0711;3;2754
0711Z;3;2754
0712;3;97
07121;3;97
0713;3;72
07131;3;72
072;3;2210
0721;3;174
07211;3;174
0722;3;1355
07221;3;1355
0723;3;387
07231;3;387
0724;3;294
0724Z;3;294
073;3;1298
0736;3;33
07361;3;33
073Z;3;1266
073ZZ;3;1266
074;3;889
0741;3;889
0741Z;3;889
08;3;904
081;3;904
0811;3;31
08111;3;31
0812;3;157
08121;3;157
0813;3;717
08131;3;717
09;3;4934
091;3;467
0911;3;120
0911Z;3;120
0913;3;196
09131;3;196
0914;3;101
09141;3;101
091A;3;50
091AZ;3;50
092;3;213
092Z;3;213
092ZZ;3;213
093;3;698
0931;3;321
0931Z;3;321
0932;3;193
09321;3;193
093A;3;184
093AZ;3;184
094;3;1688
0941;3;949
09411;3;949
0942;3;706
0942Z;3;706
0943;3;33
09431;3;33
095;3;518
0951;3;249
09511;3;249
0952;3;117
09521;3;117
0953;3;22
09531;3;22
0954;3;130
09541;3;130
096;3;843
0961;3;843
09611;3;843
097;3;506
0971;3;506
0971Z;3;506
10;3;588
101;3;588
1011;3;76
10111;3;76
1012;3;61
10121;3;61
1013;3;302
10131;3;302
1014;3;85
10141;3;85
1015;3;64
1015Z;3;64
11;3;4683
111;3;3800
1111;3;2337
11111;3;1492
11112;3;844
1112;3;886
11121;3;886
1113;3;577
1113Z;3;577
112;3;884
1121;3;884
11211;3;884
12;3;6613
121;3;1197
1211;3;507
12111;3;507
1212;3;690
1212Z;3;690
123;3;369
1231;3;149
12311;3;149
1232;3;136
1232Z;3;136
1233;3;84
12331;3;84
124;3;728
1241;3;728
12411;3;728
125;3;2718
1251;3;35
12511;3;35
1252;3;416
12521;3;416
1253;3;1166
12531;3;1166
1254;3;822
12541;3;822
1255;3;279
12551;3;279
126;3;186
1261;3;186
12611;3;186
127;3;1304
1271;3;1304
1271Z;3;1304
128;3;41
1281;3;41
12811;3;41
129;3;69
1291;3;69
12911;3;69
13;3;23105
131;3;9189
1314;3;7242
13141;3;7242
1315;3;42
13151;3;42
1316;3;108
13161;3;108
131A;3;1796
131AZ;3;1796
132;3;7995
132Z;3;7995
132ZZ;3;7995
133;3;1492
1331;3;1492
13311;3;1492
134;3;3066
134Z;3;3066
134ZZ;3;3066
135;3;1363
1351;3;1363
13511;3;1363
CTOTALE;3;43614
01;4;4657
011;4;4053
0111;4;884
01111;4;33
01112;4;522
01113;4;86
01114;4;177
01115;4;65
0112;4;950
01121;4;242
01122;4;73
01123;4;17
01124;4;175
01125;4;316
01126;4;117
01127;4;9
0113;4;270
01130;4;84
01131;4;18
01132;4;54
01133;4;27
01134;4;87
0114;4;616
01145;4;292
01147;4;45
0114A;4;76
0114B;4;202
0115;4;80
01151;4;39
0115A;4;31
0115B;4;10
0116;4;309
01161;4;55
01162;4;27
01168;4;47
01169;4;8
0116A;4;172
0117;4;456
01175;4;8
01176;4;14
01177;4;52
01178;4;51
01179;4;86
0117A;4;246
0118;4;300
01181;4;12
0118A;4;288
0119;4;188
0119Z;4;188
012;4;405
0121;4;142
01213;4;10
0121A;4;132
0122;4;264
01221;4;74
01222;4;57
0122A;4;133
013;4;199
0131;4;199
0131Z;4;199
02;4;911
021;4;397
0211;4;110
02111;4;110
0212;4;208
0212A;4;208
0213;4;79
02131;4;79
022;4;509
022Z;4;509
022ZZ;4;509
024;4;5
0241;4;5
02411;4;5
03;4;1830
031;4;1273
0311;4;4
03111;4;4
0312;4;1207
0312Z;4;1207
0313;4;53
03131;4;53
0314;4;10
03141;4;10
032;4;398
032Z;4;398
032ZZ;4;398
033;4;159
0331;4;159
0331Z;4;159
04;4;4744
041;4;2428
0411;4;2361
04111;4;2361
0412;4;67
04121;4;67
043;4;143
0431;4;143
0431Z;4;143
044;4;805
0443;4;250
04431;4;250
0444;4;554
04441;4;554
045;4;1292
0450;4;149
04500;4;149
0451;4;783
04511;4;783
0452;4;217
0452Z;4;217
0453;4;89
0453Z;4;89
045A;4;54
045AZ;4;54
046;4;76
0461;4;76
04611;4;76
05;4;1573
051;4;512
0511;4;491
0511Z;4;491
051A;4;20
051AZ;4;20
052;4;89
0521;4;89
0521Z;4;89
053;4;230
0531;4;191
0531Z;4;191
0532;4;39
05321;4;39
054;4;105
0541;4;105
0541Z;4;105
055;4;206
0551;4;66
0551Z;4;66
0552;4;140
0552Z;4;140
056;4;368
0561;4;238
0561Z;4;238
0562;4;130
0562Z;4;130
057;4;63
0571;4;63
0571Z;4;63
06;4;601
061;4;275
0611;4;275
0611Z;4;275
062;4;283
0621;4;131
06211;4;131
0622;4;76
06221;4;76
0623;4;76
0623Z;4;76
063;4;32
0631;4;32
06311;4;32
064;4;11
0641;4;11
0641Z;4;11
07;4;5969
071;4;2689
0711;4;2492
0711Z;4;2492
0712;4;138
07121;4;138
0713;4;59
07131;4;59
072;4;2213
0721;4;174
07211;4;174
0722;4;1501
07221;4;1501
0723;4;356
07231;4;356
0724;4;182
0724Z;4;182
073;4;646
0736;4;13
07361;4;13
073Z;4;633
073ZZ;4;633
074;4;421
0741;4;421
0741Z;4;421
08;4;868
081;4;868
0811;4;21
08111;4;21
0812;4;133
08121;4;133
0813;4;714
08131;4;714
09;4;3077
091;4;368
0911;4;140
0911Z;4;140
0913;4;122
09131;4;122
0914;4;65
09141;4;65
091A;4;40
091AZ;4;40
092;4;53
092Z;4;53
092ZZ;4;53
093;4;599
0931;4;267
0931Z;4;267
0932;4;146
09321;4;146
093A;4;187
093AZ;4;187
094;4;985
0941;4;394
09411;4;394
0942;4;544
0942Z;4;544
0943;4;47
09431;4;47
095;4;319
0951;4;146
09511;4;146
0952;4;64
09521;4;64
0953;4;9
09531;4;9
0954;4;99
09541;4;99
096;4;458
0961;4;458
09611;4;458
097;4;293
0971;4;293
0971Z;4;293
10;4;279
101;4;279
1011;4;22
10111;4;22
1012;4;29
10121;4;29
1013;4;141
10131;4;141
1014;4;21
10141;4;21
1015;4;65
