NOMENCLATURE;STATUT;CONSO
0312;P5;1331
0312Z;P5;1331
0313;P5;76
03131;P5;76
0314;P5;40
03141;P5;40
032;P5;451
032Z;P5;451
032ZZ;P5;451
033;P5;251
0331;P5;251
0331Z;P5;251
04;P5;3543
041;P5;111
0411;P5;22
04111;P5;22
0412;P5;89
04121;P5;89
043;P5;275
0431;P5;275
0431Z;P5;275
044;P5;1056
0443;P5;364
04431;P5;364
0444;P5;692
04441;P5;692
045;P5;1904
0450;P5;354
04500;P5;354
0451;P5;978
04511;P5;978
0452;P5;361
0452Z;P5;361
0453;P5;141
0453Z;P5;141
045A;P5;70
045AZ;P5;70
046;P5;196
0461;P5;196
04611;P5;196
05;P5;3423
051;P5;884
0511;P5;864
0511Z;P5;864
051A;P5;20
051AZ;P5;20
052;P5;192
0521;P5;192
0521Z;P5;192
053;P5;300
0531;P5;255
0531Z;P5;255
0532;P5;45
05321;P5;45
054;P5;127
0541;P5;127
0541Z;P5;127
055;P5;436
0551;P5;159
0551Z;P5;159
0552;P5;277
0552Z;P5;277
056;P5;1379
0561;P5;323
0561Z;P5;323
0562;P5;1056
0562Z;P5;1056
057;P5;105
0571;P5;105
0571Z;P5;105
06;P5;760
061;P5;419
0611;P5;419
0611Z;P5;419
062;P5;298
0621;P5;116
06211;P5;116
0622;P5;99
06221;P5;99
0623;P5;83
0623Z;P5;83
063;P5;28
0631;P5;28
06311;P5;28
064;P5;15
0641;P5;15
0641Z;P5;15
07;P5;7634
071;P5;3516
0711;P5;3315
0711Z;P5;3315
0712;P5;128
07121;P5;128
0713;P5;74
07131;P5;74
072;P5;2398
0721;P5;200
07211;P5;200
0722;P5;1518
07221;P5;1518
0723;P5;438
07231;P5;438
0724;P5;243
0724Z;P5;243
073;P5;927
0736;P5;25
07361;P5;25
073Z;P5;902
073ZZ;P5;902
074;P5;792
0741;P5;792
0741Z;P5;792
08;P5;877
081;P5;877
0811;P5;35
08111;P5;35
0812;P5;110
08121;P5;110
0813;P5;732
08131;P5;732
09;P5;4903
091;P5;417
0911;P5;147
0911Z;P5;147
0913;P5;152
09131;P5;152
0914;P5;72
09141;P5;72
091A;P5;46
091AZ;P5;46
092;P5;229
092Z;P5;229
092ZZ;P5;229
093;P5;747
0931;P5;199
0931Z;P5;199
0932;P5;312
09321;P5;312
093A;P5;236
093AZ;P5;236
094;P5;1422
0941;P5;663
09411;P5;663
0942;P5;721
0942Z;P5;721
0943;P5;38
09431;P5;38
095;P5;554
0951;P5;224
09511;P5;224
0952;P5;190
09521;P5;190
0953;P5;23
09531;P5;23
0954;P5;116
09541;P5;116
096;P5;1035
0961;P5;1035
09611;P5;1035
097;P5;499
0971;P5;499
0971Z;P5;499
10;P5;385
101;P5;385
1011;P5;41
10111;P5;41
1012;P5;35
10121;P5;35
1013;P5;192
10131;P5;192
1014;P5;47
10141;P5;47
1015;P5;69
1015Z;P5;69
11;P5;3902
111;P5;3109
1111;P5;1978
11111;P5;1298
11112;P5;680
1112;P5;528
11121;P5;528
1113;P5;603
1113Z;P5;603
112;P5;793
1121;P5;793
11211;P5;793
12;P5;7109
121;P5;1211
1211;P5;569
12111;P5;569
1212;P5;642
1212Z;P5;642
123;P5;350
1231;P5;126
12311;P5;126
1232;P5;140
1232Z;P5;140
1233;P5;85
12331;P5;85
124;P5;574
1241;P5;574
12411;P5;574
125;P5;3320
1251;P5;48
12511;P5;48
1252;P5;525
12521;P5;525
1253;P5;1512
12531;P5;1512
1254;P5;943
12541;P5;943
1255;P5;292
12551;P5;292
126;P5;193
1261;P5;193
12611;P5;193
127;P5;1384
1271;P5;1384
1271Z;P5;1384
128;P5;45
1281;P5;45
12811;P5;45
129;P5;32
1291;P5;32
12911;P5;32
13;P5;25975
131;P5;10833
1314;P5;8153
13141;P5;8153
1315;P5;49
13151;P5;49
1316;P5;131
13161;P5;131
131A;P5;2500
131AZ;P5;2500
132;P5;7079
132Z;P5;7079
132ZZ;P5;7079
133;P5;2098
1331;P5;2098
13311;P5;2098
134;P5;4236
134Z;P5;4236
134ZZ;P5;4236
135;P5;1729
1351;P5;1729
13511;P5;1729
CTOTALE;P5;42058
01;P;5118
011;P;4541
0111;P;878
01111;P;31
01112;P;571
01113;P;65
01114;P;154
01115;P;57
0112;P;1131
01121;P;306
01122;P;94
01123;P;34
01124;P;182
01125;P;375
01126;P;124
01127;P;16
0113;P;375
01130;P;144
01131;P;22
01132;P;77
01133;P;30
01134;P;102
0114;P;668
01145;P;334
01147;P;51
0114A;P;81
0114B;P;202
0115;P;106
01151;P;50
0115A;P;41
0115B;P;15
0116;P;398
01161;P;76
01162;P;30
01168;P;56
01169;P;9
0116A;P;227
0117;P;513
01175;P;8
01176;P;14
01177;P;59
01178;P;46
01179;P;90
0117A;P;296
0118;P;304
01181;P;17
0118A;P;287
0119;P;168
0119Z;P;168
012;P;379
0121;P;147
01213;P;7
0121A;P;141
0122;P;232
01221;P;77
01222;P;46
0122A;P;109
013;P;198
0131;P;198
0131Z;P;198
02;P;808
021;P;471
0211;P;112
02111;P;112
0212;P;294
0212A;P;294
