NOMENCLATURE;ZEAT;CONSO
0552;4;104
0552Z;4;104
056;4;433
0561;4;250
0561Z;4;250
0562;4;183
0562Z;4;183
057;4;71
0571;4;71
0571Z;4;71
06;4;519
061;4;254
0611;4;254
0611Z;4;254
062;4;226
0621;4;102
06211;4;102
0622;4;60
06221;4;60
0623;4;64
0623Z;4;64
063;4;37
0631;4;37
06311;4;37
064;4;2
0641;4;2
0641Z;4;2
07;4;4291
071;4;1929
0711;4;1809
0711Z;4;1809
0712;4;87
07121;4;87
0713;4;33
07131;4;33
072;4;1748
0721;4;174
07211;4;174
0722;4;1171
07221;4;1171
0723;4;303
07231;4;303
0724;4;99
0724Z;4;99
073;4;278
0736;4;15
07361;4;15
073Z;4;263
073ZZ;4;263
074;4;336
0741;4;336
0741Z;4;336
08;4;752
081;4;752
0811;4;23
08111;4;23
0812;4;103
08121;4;103
0813;4;626
08131;4;626
09;4;2560
091;4;258
0911;4;97
0911Z;4;97
0913;4;84
09131;4;84
0914;4;52
09141;4;52
091A;4;24
091AZ;4;24
092;4;61
092Z;4;61
092ZZ;4;61
093;4;504
0931;4;212
0931Z;4;212
0932;4;115
09321;4;115
093A;4;178
093AZ;4;178
094;4;734
0941;4;257
09411;4;257
0942;4;443
0942Z;4;443
0943;4;34
09431;4;34
095;4;303
0951;4;111
09511;4;111
0952;4;104
09521;4;104
0953;4;14
09531;4;14
0954;4;74
09541;4;74
096;4;436
0961;4;436
09611;4;436
097;4;264
0971;4;264
0971Z;4;264
10;4;111
101;4;111
1011;4;21
10111;4;21
1012;4;13
10121;4;13
1013;4;48
10131;4;48
1014;4;17
10141;4;17
1015;4;12
1015Z;4;12
11;4;1763
111;4;1500
1111;4;935
11111;4;527
11112;4;408
1112;4;306
11121;4;306
1113;4;259
1113Z;4;259
112;4;263
1121;4;263
11211;4;263
12;4;4393
121;4;764
1211;4;363
12111;4;363
1212;4;401
1212Z;4;401
123;4;158
1231;4;48
12311;4;48
1232;4;71
1232Z;4;71
1233;4;38
12331;4;38
124;4;289
1241;4;289
12411;4;289
125;4;2338
1251;4;52
12511;4;52
1252;4;377
12521;4;377
1253;4;1052
12531;4;1052
1254;4;701
12541;4;701
1255;4;156
12551;4;156
126;4;154
1261;4;154
12611;4;154
127;4;635
1271;4;635
1271Z;4;635
128;4;35
1281;4;35
12811;4;35
129;4;18
1291;4;18
12911;4;18
13;4;8662
131;4;2890
1314;4;1823
13141;4;1823
1315;4;3
13151;4;3
1316;4;86
13161;4;86
131A;4;978
131AZ;4;978
132;4;2415
132Z;4;2415
132ZZ;4;2415
133;4;911
1331;4;911
13311;4;911
134;4;1393
